id	nsnp	method	b	se	or	or_lci95	or_uci95	pvalue
SIGLEC15	28	Inverse variance weighted	-0.091197881	0.046450759	0.91283706	0.833400159	0.999845619	0.049608561
BTNL3	20	Inverse variance weighted	-0.135551646	0.047964514	0.873234063	0.79488161	0.959309812	0.004712121
BRAT1	2	Inverse variance weighted	-0.762091084	0.273730675	0.466689519	0.272912729	0.798054043	0.005367799
MRAP2	4	Inverse variance weighted	-0.362991035	0.137769995	0.69559267	0.530985681	0.911228267	0.00841965
CD58	18	Inverse variance weighted	-0.106160628	0.043211502	0.899280186	0.826252244	0.978762671	0.014019324
CLEC10A	16	Inverse variance weighted	-0.161698296	0.060185833	0.850697825	0.75603884	0.95720848	0.007217243
BET1L	12	Inverse variance weighted	-0.134787978	0.06160988	0.873901178	0.774495567	0.986065386	0.02868668
RARRES3	19	Inverse variance weighted	0.103582217	0.03872195	1.10913698	1.028074048	1.196591668	0.007472348
UCMA	73	Inverse variance weighted	-0.074597933	0.0171332	0.928116577	0.897466931	0.959812947	1.33676E-05
LRRK2	20	Inverse variance weighted	-0.18209375	0.05096828	0.833523194	0.754280035	0.92109148	0.000353336
CHI3L1	306	Inverse variance weighted	-0.013347883	0.006454442	0.986740805	0.974336463	0.999303067	0.038638616
SVEP1	154	Inverse variance weighted	0.034239092	0.011122377	1.034831998	1.012516922	1.057638879	0.002081174
RAB17	60	Inverse variance weighted	-0.051270393	0.024560915	0.950021756	0.905371622	0.996873897	0.036844861
TREML1	2	Inverse variance weighted	-0.240691471	0.11311917	0.786084119	0.629767204	0.981201049	0.033356236
SVEP1	148	Inverse variance weighted	0.028934148	0.011005194	1.029356807	1.007391147	1.051801416	0.008560224
TSSK1B	2	Inverse variance weighted	0.618721888	0.163937651	1.85655364	1.346359242	2.560083009	0.000160567
TPMT	23	Inverse variance weighted	-0.165366197	0.04288153	0.847583265	0.779257297	0.921900114	0.000115093
ERN1	4	Inverse variance weighted	-0.274950895	0.125999429	0.759609423	0.593386231	0.972396131	0.029097737
CASQ1	15	Inverse variance weighted	-0.10210628	0.051714624	0.902933583	0.815897175	0.999254662	0.048334245
ALDH1A1	7	Inverse variance weighted	-0.22170876	0.079404847	0.801148657	0.685681352	0.936060414	0.00523621
ATF6	84	Inverse variance weighted	-0.055019304	0.022398407	0.946466877	0.905815005	0.988943156	0.014033937
COL11A2	53	Inverse variance weighted	-0.058699003	0.019577248	0.942990564	0.907492107	0.979877616	0.002714657
GRB7	43	Inverse variance weighted	-0.06419739	0.031959354	0.937819865	0.880876606	0.998444157	0.044566852
LRRN1	238	Inverse variance weighted	-0.053152612	0.007709042	0.948235289	0.934015417	0.962671651	5.39254E-12
TNR	34	Inverse variance weighted	-0.08666306	0.032992541	0.916986013	0.859565336	0.978242504	0.008620538
CHFR	13	Inverse variance weighted	-0.127314092	0.059721192	0.880457085	0.783199654	0.989791905	0.033022667
ARHGAP25	12	Inverse variance weighted	-0.185340421	0.04405687	0.830821407	0.762089035	0.905752711	2.58961E-05
NHEJ1	7	Inverse variance weighted	-0.168126248	0.074097619	0.845247117	0.730988478	0.977365186	0.023269352
TTN	2	Inverse variance weighted	0.48989374	0.162161801	1.632142779	1.18774507	2.242812972	0.002519263
ADH5	24	Inverse variance weighted	0.084992058	0.041484471	1.08870842	1.003689283	1.180929241	0.040484803
ACAD8	3	Inverse variance weighted	-0.570090073	0.154036135	0.565474502	0.418114108	0.764770686	0.000214739
PLSCR3	10	Inverse variance weighted	-0.238629358	0.092295406	0.787706785	0.657356786	0.943904426	0.009723914
SOCS3	57	Inverse variance weighted	-0.041461763	0.016964743	0.959386018	0.928010103	0.991822749	0.014525588
GALK1	10	Inverse variance weighted	-0.150176601	0.055947952	0.860555988	0.771179139	0.960291287	0.007269929
EIF3G	6	Inverse variance weighted	0.137240271	0.068443404	1.147103731	1.003095983	1.311785705	0.044945483
ELL	35	Inverse variance weighted	-0.07156282	0.036507712	0.930937794	0.866651853	0.999992297	0.049971132
CD38	19	Inverse variance weighted	-0.10961349	0.054619173	0.896180451	0.805198001	0.997443362	0.044763681
LIMA1	14	Inverse variance weighted	-0.135566046	0.05559787	0.873221488	0.783066333	0.973756291	0.014755229
MUSK	10	Inverse variance weighted	0.158477625	0.058921899	1.171725707	1.043928189	1.315168176	0.007153303
FKBP1B	18	Inverse variance weighted	0.085812568	0.037453416	1.089602083	1.012481121	1.17259737	0.021952926
CHST9	44	Inverse variance weighted	0.050570104	0.023496848	1.051870601	1.004526495	1.101446071	0.03138098
SMAP1	51	Inverse variance weighted	-0.068940879	0.020881205	0.933381861	0.895952358	0.972375028	0.000961434
EVL	42	Inverse variance weighted	-0.081103931	0.034068901	0.922097852	0.862535495	0.985773286	0.017285151
RGS8	50	Inverse variance weighted	-0.068962462	0.030615403	0.933361716	0.87900152	0.991083716	0.02428808
CPT1B	83	Inverse variance weighted	-0.051412415	0.016113189	0.949886842	0.920356425	0.980364767	0.001419266
AAGAB	60	Inverse variance weighted	0.053265429	0.016793038	1.054709559	1.02055957	1.090002276	0.001514578
INTS3	5	Inverse variance weighted	0.249406724	0.096004499	1.283263861	1.063151815	1.548947303	0.009380537
CRABP1	54	Inverse variance weighted	-0.088257359	0.028624861	0.915525228	0.865574279	0.968358768	0.002047589
PTPRH	12	Inverse variance weighted	-0.198680426	0.091551348	0.819811842	0.685147547	0.98094412	0.029995263
CD7	19	Inverse variance weighted	0.104813396	0.038802961	1.110503367	1.029177142	1.198256041	0.006909601
RPS6KA1	338	Inverse variance weighted	0.015936354	0.007593225	1.016064015	1.001054188	1.0312989	0.035838097
EEF2K	94	Inverse variance weighted	-0.045358644	0.019302378	0.955654681	0.920175098	0.992502266	0.018778491
CCM2	14	Inverse variance weighted	-0.240160914	0.05803551	0.786501292	0.701937778	0.8812523	3.50084E-05
MRRF	7	Inverse variance weighted	-0.388756647	0.108154465	0.677899219	0.548405996	0.837969232	0.000325068
TAPBP	124	Inverse variance weighted	-0.033492255	0.013247274	0.967062401	0.942276133	0.992500664	0.011463679
DDX58	16	Inverse variance weighted	-0.102916292	0.052055731	0.902202492	0.814691696	0.999113335	0.048037046
COPS7B	403	Inverse variance weighted	-0.015490073	0.006401126	0.984629282	0.972353089	0.997060464	0.01552486
CAPN3	6	Inverse variance weighted	0.178141923	0.087876623	1.194994907	1.005921203	1.419607045	0.042643786
RAB22A	10	Inverse variance weighted	0.132577661	0.057555807	1.141767683	1.019964965	1.278115902	0.021252818
MAX	15	Inverse variance weighted	-0.085772133	0.042329515	0.917803344	0.844730209	0.99719765	0.042734444
TPRKB	25	Inverse variance weighted	-0.130097189	0.047245766	0.878010094	0.800355808	0.963198764	0.0058939
GPD1L	66	Inverse variance weighted	-0.047437787	0.0240945	0.953669802	0.909679438	0.999787456	0.048973513
A1CF	19	Inverse variance weighted	-0.080971434	0.027758187	0.922220035	0.873386164	0.973784368	0.00353383
ARF6	11	Inverse variance weighted	-0.142047676	0.065707517	0.867579893	0.762742789	0.986826597	0.030632228
PAIP1	7	Inverse variance weighted	-0.187614492	0.094069761	0.828934206	0.689360293	0.996767476	0.046106315
GSTO1	340	Inverse variance weighted	0.021238504	0.00693755	1.021465646	1.007670172	1.035449987	0.002203165
ANKRD27	17	Inverse variance weighted	-0.13688399	0.050990583	0.872071389	0.789128954	0.963731598	0.007263936
KLHL13	31	Inverse variance weighted	-0.10016916	0.040431418	0.904684369	0.835759205	0.979293799	0.013230346
CLIC5	60	Inverse variance weighted	0.040090576	0.020434188	1.040905051	1.000039569	1.083440455	0.049769893
PITPNB	52	Inverse variance weighted	-0.060663302	0.030143011	0.941140066	0.887147868	0.998418252	0.044165537
MCTS1	34	Inverse variance weighted	-0.115577412	0.037771197	0.890851607	0.827282572	0.959305335	0.00221385
TBCA	251	Inverse variance weighted	0.041926431	0.00772529	1.042817757	1.027146802	1.0587278	5.72558E-08
GPR68	5	Inverse variance weighted	-0.251072534	0.127106581	0.777965941	0.606408497	0.998058251	0.04823509
COMMD1	28	Inverse variance weighted	-0.135040373	0.043632129	0.873680638	0.802070038	0.951684792	0.001968291
RGS7	4	Inverse variance weighted	-0.587254323	0.129091246	0.55585138	0.431592612	0.715885185	5.38653E-06
RHOG	3	Inverse variance weighted	-0.451682893	0.133779285	0.636555994	0.489735274	0.827392993	0.0007346
UBE2C	8	Inverse variance weighted	-0.15207048	0.064817997	0.858927742	0.75645385	0.975283378	0.018970249
PKN1	22	Inverse variance weighted	-0.110049723	0.038237902	0.895789593	0.8311076	0.965505544	0.004001706
EFS	24	Inverse variance weighted	-0.250684579	0.047403545	0.778267815	0.709215728	0.854043089	1.23453E-07
FEN1	7	Inverse variance weighted	-0.296821199	0.107039334	0.743176881	0.602529717	0.916654999	0.005554032
PSMB5	23	Inverse variance weighted	-0.138837838	0.052032613	0.870369158	0.785981707	0.963816923	0.007623957
ARL2	146	Inverse variance weighted	0.046484785	0.013945383	1.04758214	1.019336406	1.076610561	0.000858082
GCA	17	Inverse variance weighted	0.062089437	0.03039545	1.064057506	1.002517519	1.129375153	0.041080021
NRBP1	18	Inverse variance weighted	-0.194412045	0.055716061	0.82331859	0.738144611	0.918320733	0.000484222
AKR1C1	10	Inverse variance weighted	-0.21982634	0.100053314	0.802658176	0.659725898	0.976557308	0.028013874
PPP2R1A	12	Inverse variance weighted	-0.143007274	0.040057152	0.866747765	0.801300465	0.937540561	0.000356871
JARID2	27	Inverse variance weighted	-0.106839484	0.039519211	0.898669912	0.831688641	0.97104562	0.006861713
ARFIP2	13	Inverse variance weighted	-0.111087302	0.05246117	0.894860623	0.807420085	0.99177064	0.034216185
RPE	2	Inverse variance weighted	-0.271067802	0.120131317	0.762564791	0.602585821	0.96501617	0.024043769
PANK3	7	Inverse variance weighted	-0.333731162	0.086368997	0.71624631	0.604705089	0.848361931	0.000111538
ECH1	12	Inverse variance weighted	-0.0798033	0.035606512	0.923297941	0.861059162	0.990035442	0.025009513
HOMER2	59	Inverse variance weighted	-0.045078308	0.01648693	0.955922622	0.925526337	0.987317188	0.006253499
10-Sep	47	Inverse variance weighted	-0.07867058	0.030725035	0.924344372	0.870322324	0.98171964	0.010453021
RGS19	39	Inverse variance weighted	-0.075662231	0.036399151	0.927129309	0.863290035	0.995689422	0.037646662
NDC80	22	Inverse variance weighted	-0.198710782	0.046555548	0.819786957	0.748293757	0.898110732	1.97011E-05
CSDC2	18	Inverse variance weighted	-0.10791855	0.053961457	0.897700711	0.80760435	0.997848224	0.045508996
HCN1	2	Inverse variance weighted	0.966212012	0.329231726	2.62797086	1.378392312	5.010352118	0.003338191
HMGB3	17	Inverse variance weighted	-0.142787727	0.06987287	0.866938077	0.755981365	0.9941801	0.040999406
CARHSP1	2	Inverse variance weighted	-0.607151728	0.192562226	0.544900686	0.373598462	0.794748342	0.001615931
ACYP2	24	Inverse variance weighted	0.076948389	0.03528976	1.079986336	1.007810805	1.1573308	0.029222377
SLC5A5	13	Inverse variance weighted	0.34415895	0.052852338	1.410802865	1.271971893	1.564786719	7.43014E-11
SYTL1	15	Inverse variance weighted	-0.160395516	0.07832194	0.851806819	0.730587322	0.993139129	0.040569779
PAXIP1	26	Inverse variance weighted	-0.134127511	0.052837427	0.874478552	0.788447965	0.969896267	0.011133059
POLR1C	53	Inverse variance weighted	-0.057739136	0.028979313	0.943896143	0.891777524	0.999060759	0.04632434
RAB18	17	Inverse variance weighted	-0.120812984	0.053417652	0.886199677	0.798107817	0.984014755	0.023717934
UQCRB	30	Inverse variance weighted	-0.138838758	0.048488595	0.870368357	0.791459631	0.957144302	0.004192161
GCK	15	Inverse variance weighted	-0.160134309	0.061861796	0.852029346	0.754738891	0.961861135	0.00963721
RBM22	2	Inverse variance weighted	-0.272347568	0.13849849	0.761589511	0.580535336	0.99910987	0.049248976
RPS10	65	Inverse variance weighted	-0.054732328	0.02379989	0.946738529	0.903589502	0.991948048	0.021465886
TP53I11	92	Inverse variance weighted	0.044605356	0.018595461	1.045615133	1.008191622	1.084427783	0.016452363
PPP1R8	18	Inverse variance weighted	-0.12865904	0.039936232	0.879273711	0.813073266	0.950864199	0.001274717
KCNA10	40	Inverse variance weighted	-0.12238769	0.03644753	0.884805271	0.823802181	0.950325681	0.000785329
PSD	54	Inverse variance weighted	-0.078596202	0.028072334	0.924413125	0.874924243	0.976701278	0.005113833
ANP32A	19	Inverse variance weighted	-0.181339216	0.050927867	0.834152353	0.754909174	0.921713727	0.000369858
CETN2	11	Inverse variance weighted	-0.243690938	0.071113758	0.783729818	0.681762513	0.900947788	0.000610792
VARS	109	Inverse variance weighted	-0.052904266	0.017749199	0.948470809	0.916042336	0.98204727	0.002876312
EFNB1	3	Inverse variance weighted	0.382734868	0.08745696	1.466289218	1.235306635	1.74046185	1.2073E-05
ISLR2	129	Inverse variance weighted	-0.036762645	0.010916897	0.963904896	0.9434992	0.98475192	0.000758531
VTN	621	Inverse variance weighted	-0.008902665	0.004140923	0.991136846	0.983125128	0.999213854	0.031561334
MDM4	55	Inverse variance weighted	-0.202353692	0.030313976	0.816805979	0.769688736	0.866807551	2.46793E-11
SHANK3	67	Inverse variance weighted	0.045056205	0.016056593	1.046086654	1.013677981	1.079531475	0.005014708
WNT5A	53	Inverse variance weighted	-0.069007782	0.019959995	0.933319417	0.897511476	0.970555984	0.000545608
DEFB113	31	Inverse variance weighted	-0.082399067	0.038156757	0.920904382	0.854544833	0.992417072	0.030812309
CYB561D1	24	Inverse variance weighted	-0.080640726	0.039948861	0.922525072	0.853047119	0.997661781	0.043528931
EHF	4	Inverse variance weighted	0.262058444	0.122172545	1.299602494	1.022857576	1.651223673	0.031953937
DEFB4A	100	Inverse variance weighted	-0.048018967	0.020206203	0.953115709	0.91610607	0.991620496	0.017480279
FAM213A	18	Inverse variance weighted	-0.145343535	0.053210338	0.864725179	0.779084476	0.959779918	0.006304855
SLC14A1	10	Inverse variance weighted	-0.153637296	0.076673732	0.857583014	0.737921514	0.996648847	0.045093625
IL20RB	27	Inverse variance weighted	0.161171872	0.06869932	1.174886882	1.026876021	1.344231589	0.018973687
DIXDC1	10	Inverse variance weighted	-0.183449155	0.086314769	0.832394197	0.702839935	0.985829156	0.033557359
CHAD	14	Inverse variance weighted	-0.149128063	0.074882266	0.861458787	0.743863816	0.997643958	0.0464259
RCAN1	32	Inverse variance weighted	-0.200659873	0.043567822	0.818190673	0.751222947	0.891128233	4.11101E-06
LTB4R	9	Inverse variance weighted	-0.158867373	0.063170789	0.853109497	0.753759355	0.965554601	0.011907066
EIF3J	4	Inverse variance weighted	0.175180483	0.078846692	1.191461236	1.020855464	1.390578712	0.026297766
TRADD	30	Inverse variance weighted	-0.089376476	0.034763124	0.914501221	0.854266392	0.978983243	0.010140125
SCAMP5	10	Inverse variance weighted	-0.341363415	0.078734856	0.710800545	0.609154266	0.82940799	1.45358E-05
RAB35	58	Inverse variance weighted	-0.068559379	0.030703501	0.933738014	0.879204075	0.991654501	0.025552248
ARPC3	7	Inverse variance weighted	-0.388420226	0.110343137	0.678127317	0.546242221	0.841854841	0.000431364
ABLIM3	4	Inverse variance weighted	0.275909639	0.103139011	1.317728788	1.076545365	1.612945645	0.007470162
RACGAP1	272	Inverse variance weighted	0.03719739	0.007752078	1.037897871	1.022247174	1.053788181	1.59957E-06
THTPA	26	Inverse variance weighted	-0.188432841	0.04065527	0.828256126	0.764818161	0.896955963	3.57122E-06
NEURL1	34	Inverse variance weighted	-0.093854737	0.036166203	0.910415003	0.848113765	0.9772928	0.009456475
MAGEA10	47	Inverse variance weighted	0.057146179	0.023948491	1.058810574	1.010259406	1.109695021	0.017022932
ASNA1	14	Inverse variance weighted	-0.149713414	0.039916596	0.860954678	0.796164113	0.931017796	0.000176373
MLL2	8	Inverse variance weighted	-0.286657232	0.073934727	0.750769024	0.649489054	0.867842382	0.00010568
GRB14	11	Inverse variance weighted	-0.197691036	0.076506631	0.820623357	0.706350269	0.953383504	0.009766956
PIR	58	Inverse variance weighted	-0.05301579	0.017554167	0.948365038	0.916290379	0.981562467	0.002526698
CA10	66	Inverse variance weighted	-0.066813836	0.018722621	0.935369317	0.90166685	0.970331513	0.000358873
CCT7	10	Inverse variance weighted	-0.173255354	0.047160213	0.840922855	0.766677243	0.922358469	0.000239006
IL5RA	136	Inverse variance weighted	-0.035515106	0.012199074	0.965108155	0.942305929	0.988462157	0.003599338
ODC1	46	Inverse variance weighted	-0.089093768	0.038170742	0.914759795	0.848819752	0.98582235	0.019591256
SLC5A8	75	Inverse variance weighted	-0.065507163	0.019619672	0.936592338	0.901259797	0.973310038	0.000841256
FCN2	196	Inverse variance weighted	-0.019528511	0.008423992	0.980660936	0.964602158	0.996987061	0.020438368
PRTN3	138	Inverse variance weighted	0.029799816	0.012469708	1.030248274	1.005373575	1.055738418	0.016858625
FGF19	24	Inverse variance weighted	-0.058326662	0.028286164	0.943341743	0.892465391	0.99711838	0.039205745
SFXN5	19	Inverse variance weighted	-0.106371139	0.050364529	0.899090899	0.814577573	0.992372575	0.034684314
IL12B	120	Inverse variance weighted	0.035048583	0.013559015	1.035670024	1.00850891	1.063562639	0.009740965
FRZB	171	Inverse variance weighted	-0.030432256	0.013684729	0.970026143	0.944353866	0.996396321	0.026161134
IL3RA	183	Inverse variance weighted	-0.029604658	0.00793411	0.970829268	0.955848822	0.986044492	0.000190484
RMI1	23	Inverse variance weighted	-0.154847689	0.050746018	0.856545629	0.775451464	0.946120355	0.002277576
DPY30	8	Inverse variance weighted	-0.214944333	0.104902791	0.806586339	0.656683046	0.990708572	0.0404635
SULT1A3	35	Inverse variance weighted	0.074568917	0.029784254	1.077419594	1.016323577	1.142188381	0.012292458
KIF3A	29	Inverse variance weighted	-0.096009578	0.037242044	0.908455315	0.844505538	0.977247658	0.009937718
HSD17B14	20	Inverse variance weighted	-0.180967857	0.062506469	0.83446218	0.738244258	0.943220517	0.003789339
ADSSL1	22	Inverse variance weighted	0.078438039	0.025122607	1.081596336	1.029628162	1.136187487	0.001794992
PAPSS1	11	Inverse variance weighted	-0.099786023	0.049182983	0.905031054	0.821860448	0.996618355	0.042471236
MED4	29	Inverse variance weighted	-0.075589958	0.036112471	0.927196318	0.863837678	0.995202032	0.036332951
TIAM1	2	Inverse variance weighted	0.382283933	0.180422164	1.465628166	1.029071038	2.087383515	0.034104818
OSM	3	Inverse variance weighted	-0.286202882	0.14237555	0.751110214	0.568212983	0.992878673	0.044410358
ITSN1	11	Inverse variance weighted	-0.177057366	0.061806929	0.837731726	0.742153675	0.945618769	0.004174246
SEPHS1	2	Inverse variance weighted	-0.331190769	0.151856948	0.718068171	0.533215091	0.967005447	0.029187915
IGFBP6	4	Inverse variance weighted	-0.282470075	0.089617165	0.753919203	0.632471753	0.898687034	0.001621763
MTHFS	96	Inverse variance weighted	-0.029659933	0.015066677	0.970775606	0.942527087	0.999870763	0.049001545
ADM	7	Inverse variance weighted	0.117291692	0.055092317	1.124447374	1.009354231	1.252664188	0.033254037
ZNRF3	4	Inverse variance weighted	-0.545028732	0.16148426	0.579825123	0.422511809	0.795710714	0.000737835
HHLA2	4	Inverse variance weighted	-0.356835406	0.099736942	0.699887686	0.575612946	0.850993321	0.000346544
IL36A	89	Inverse variance weighted	-0.056177896	0.018016821	0.945370943	0.912569652	0.97935124	0.001820332
YWHAB	9	Inverse variance weighted	-0.142554769	0.050809832	0.867140061	0.784944677	0.957942524	0.00502147
YWHAE	8	Inverse variance weighted	-0.162653611	0.076991775	0.849885529	0.730842363	0.988319026	0.034634142
SCP2D1	209	Inverse variance weighted	-0.018542249	0.008166614	0.981628601	0.966041184	0.997467525	0.02317761
PDCL2	5	Inverse variance weighted	-0.409211331	0.134296368	0.664173857	0.510465507	0.864165955	0.002310787
PRDM1	37	Inverse variance weighted	-0.080187567	0.038681931	0.922943217	0.855555639	0.995638556	0.038172462
FOXJ2	29	Inverse variance weighted	0.054838332	0.027977654	1.05636982	1.00000213	1.11591482	0.049986894
HEXIM2	2	Inverse variance weighted	-0.326865968	0.109594743	0.721180398	0.581774907	0.893990373	0.002859077
RBP7	25	Inverse variance weighted	-0.105938944	0.044076502	0.899479565	0.825035479	0.980640842	0.016237887
BHMT2	36	Inverse variance weighted	-0.092456785	0.041695113	0.911688609	0.840146325	0.989323044	0.026592426
MOCS3	48	Inverse variance weighted	-0.063369592	0.029798691	0.938596512	0.885347526	0.995048143	0.03345418
MID2	11	Inverse variance weighted	-0.234359415	0.077144587	0.79107744	0.680067782	0.920207562	0.002382138
MBD1	261	Inverse variance weighted	0.021641753	0.00833137	1.021877635	1.005326402	1.038701359	0.009387169
TRAPPC3	58	Inverse variance weighted	-0.116639941	0.027646411	0.889905554	0.842967473	0.939457241	2.45399E-05
FAM69C	47	Inverse variance weighted	0.090783233	0.025388501	1.095031612	1.041874787	1.150900518	0.00034921
MSTN	9	Inverse variance weighted	-0.173741142	0.085550329	0.840514443	0.710760478	0.993955842	0.042268722
STAB1	30	Inverse variance weighted	-0.093844583	0.037581634	0.910424247	0.845772739	0.980017765	0.012521848
KIAA0040	7	Inverse variance weighted	0.171400751	0.078308012	1.186966332	1.01807852	1.383870737	0.028611218
MZF1	37	Inverse variance weighted	-0.101025291	0.035489341	0.903910172	0.843171923	0.969023726	0.004418364
RNF8	16	Inverse variance weighted	-0.161951417	0.063178413	0.850482522	0.751427081	0.962595758	0.010365315
ROBLD3	8	Inverse variance weighted	-0.214688436	0.104707794	0.806792769	0.657102204	0.990583456	0.040329533
RBBP4	4	Inverse variance weighted	-0.322359604	0.144823408	0.724437633	0.545412176	0.962226197	0.026022185
SCG5	66	Inverse variance weighted	-0.050607899	0.02495136	0.950651349	0.905278575	0.998298217	0.042533504
APOA5	124	Inverse variance weighted	0.038638506	0.011029363	1.039394681	1.017166637	1.062108473	0.000459635
BMPER	15	Inverse variance weighted	0.104436037	0.047769679	1.110084387	1.010866077	1.219041152	0.02879797
ID1	3	Inverse variance weighted	-0.632980992	0.23798444	0.531006513	0.333060709	0.846596158	0.007819684
LCAT	6	Inverse variance weighted	-0.174364338	0.086143481	0.839990801	0.709492353	0.994492109	0.042958289
LOXL3	128	Inverse variance weighted	-0.025119124	0.011975556	0.975193737	0.952570449	0.998354321	0.035946418
AMBP	65	Inverse variance weighted	-0.106535145	0.03115845	0.898943454	0.845687218	0.955553444	0.000628191
DPP4	22	Inverse variance weighted	-0.138954472	0.05366904	0.870267649	0.783373418	0.96680046	0.009622735
CD8A	143	Inverse variance weighted	0.04099683	0.013117384	1.041848803	1.015404198	1.068982117	0.001775746
HEXB	133	Inverse variance weighted	0.029107966	0.012540767	1.029535743	1.004538329	1.055155205	0.020283206
FGFBP1	14	Inverse variance weighted	-0.256578556	0.072550912	0.773694214	0.671139447	0.89192006	0.000405419
ATRN	72	Inverse variance weighted	0.029138235	0.013052496	1.029566907	1.003561669	1.056246016	0.025589339
LEFTY2	78	Inverse variance weighted	-0.08863355	0.023164374	0.91518088	0.874558823	0.957689777	0.00013009
BCHE	153	Inverse variance weighted	0.038896519	0.011149001	1.039662893	1.017190564	1.062631693	0.000485213
SAA1	89	Inverse variance weighted	-0.035167701	0.014484571	0.965443496	0.938420195	0.993244977	0.015184765
GSS	30	Inverse variance weighted	-0.075129034	0.035821346	0.927623784	0.86472921	0.995092885	0.035964745
PHGDH	194	Inverse variance weighted	0.023240473	0.009736865	1.023512638	1.004164868	1.043233191	0.016993241
GUSB	106	Inverse variance weighted	0.034481727	0.013179355	1.035083114	1.008687712	1.062169232	0.008887695
MUC16	53	Inverse variance weighted	0.066398086	0.024202164	1.068652048	1.019142761	1.120566463	0.006079227
CFHR2	590	Inverse variance weighted	0.011236778	0.005008435	1.011300148	1.001421254	1.021276495	0.024860041
IL6R	374	Inverse variance weighted	-0.016057929	0.005867124	0.984070313	0.972818752	0.995452008	0.00620148
LILRB3	299	Inverse variance weighted	0.01326834	0.00564626	1.013356755	1.002204095	1.024633523	0.018776736
PDCD1	18	Inverse variance weighted	-0.126386812	0.059497951	0.881273894	0.784269321	0.990276752	0.033651648
SMOC2	80	Inverse variance weighted	-0.032793961	0.015349117	0.96773793	0.939057815	0.997293976	0.032635644
COL10A1	43	Inverse variance weighted	0.068954739	0.029103958	1.071387716	1.0119822	1.134280463	0.017823891
CDH8	63	Inverse variance weighted	-0.059872882	0.025866915	0.941884257	0.895321834	0.990868221	0.020632034
WIF1	20	Inverse variance weighted	-0.117250104	0.042464091	0.889362732	0.818338084	0.966551705	0.005759665
EPHA4	100	Inverse variance weighted	-0.049582714	0.011626261	0.951626442	0.930186491	0.973560565	2.00156E-05
TIGIT	25	Inverse variance weighted	-0.120475244	0.044668236	0.886499033	0.812186743	0.967610642	0.00699437
CDH11	167	Inverse variance weighted	0.02595005	0.012723679	1.026289684	1.00101215	1.052205525	0.04139932
